"","Electorate","Religious_Affiliation","Religious_Fraction"
"444","Bennelong","Hinduism",0.0411073229632786
"445","Berowra","Hinduism",0.0319148936170213
"446","Blaxland","Hinduism",0.0295875946264759
"447","Bradfield","Hinduism",0.0310130729150417
"448","Calare","Hinduism",0.00362682736301752
"449","Chifley","Hinduism",0.069898218383757
"450","Cook","Hinduism",0.00659418101278566
"451","Cowper","Hinduism",0.00267384713879526
"452","Cunningham","Hinduism",0.00745269661475093
"453","Dobell","Hinduism",0.00320639721679529
"454","Eden-Monaro","Hinduism",0.00548355610986091
"455","Farrer","Hinduism",0.00940358580314673
"456","Fowler","Hinduism",0.0207507534934697
"457","Gilmore","Hinduism",0.00202079289531761
"458","Grayndler","Hinduism",0.0226936788105382
"459","Greenway","Hinduism",0.121405093286763
"460","Hughes","Hinduism",0.0163075494320426
"461","Hume","Hinduism",0.00313987374122926
"462","Hunter","Hinduism",0.00299114773336055
"463","Kingsford Smith","Hinduism",0.0133115446158036
"464","Lindsay","Hinduism",0.0184173232129131
"465","Lyne","Hinduism",0.00141600219961507
"466","Macarthur","Hinduism",0.0317435824635686
"467","Mackellar","Hinduism",0.00695093968899087
"468","Macquarie","Hinduism",0.00224124887760801
"469","McMahon","Hinduism",0.0266215229369979
"470","Mitchell","Hinduism",0.0479312344818148
"471","New England","Hinduism",0.00398874072536709
"472","Newcastle","Hinduism",0.00693699819546513
"473","North Sydney","Hinduism",0.0265715736166314
"474","Page","Hinduism",0.00199236991458578
"475","Parkes","Hinduism",0.00477989711840488
"476","Parramatta","Hinduism",0.16650386431945
"477","Paterson","Hinduism",0.00316126296310575
"478","Reid","Hinduism",0.0711619161055876
"479","Richmond","Hinduism",0.00498976542216816
"480","Riverina","Hinduism",0.00372288870488404
"481","Robertson","Hinduism",0.00434651963970008
"482","Shortland","Hinduism",0.00278235351116402
"483","Sydney","Hinduism",0.0139773504977995
"484","Warringah","Hinduism",0.00761540184480055
"485","Watson","Hinduism",0.0325675320069105
"486","Wentworth","Hinduism",0.00460434809419729
"487","Werriwa","Hinduism",0.0492542815182348
"488","Whitlam","Hinduism",0.00362490149724192
"489","Aston","Hinduism",0.0285403402490847
"490","Ballarat","Hinduism",0.00506851886615356
"491","Batman","Hinduism",0.0265738065249068
"492","Bendigo","Hinduism",0.00387553097433375
"493","Bruce","Hinduism",0.060887453745279
"494","Calwell","Hinduism",0.0219943653797323
"495","Casey","Hinduism",0.00455990922208369
"496","Chisholm","Hinduism",0.0363552328303929
"497","Corangamite","Hinduism",0.00540788267644363
"498","Corio","Hinduism",0.00644369438478061
"499","Deakin","Hinduism",0.0215511661340765
"500","Dunkley","Hinduism",0.00470689502052862
"501","Flinders","Hinduism",0.00174595108731058
"502","Gellibrand","Hinduism",0.028015409379465
"503","Gippsland","Hinduism",0.00330692917019149
"504","Goldstein","Hinduism",0.017381644279163
"505","Gorton","Hinduism",0.0272892568775296
"506","Higgins","Hinduism",0.0328110587104234
"507","Holt","Hinduism",0.0502341592282752
"508","Hotham","Hinduism",0.0325815364683174
"509","Indi","Hinduism",0.00424445189502293
"510","Isaacs","Hinduism",0.0243044612805224
"511","Jagajaga","Hinduism",0.0111676492027657
"512","Kooyong","Hinduism",0.025619158316082
"513","La Trobe","Hinduism",0.0182715892077852
"514","Lalor","Hinduism",0.0843481522034322
"515","Mallee","Hinduism",0.00375923574232279
"516","Maribyrnong","Hinduism",0.0264936875439408
"517","McEwen","Hinduism",0.0235262265414595
"518","McMillan","Hinduism",0.00633486326257411
"519","Melbourne","Hinduism",0.0263575479522323
"520","Melbourne Ports","Hinduism",0.0230306349137207
"521","Menzies","Hinduism",0.0133493292616425
"522","Murray","Hinduism",0.00482231058156653
"523","Scullin","Hinduism",0.0388947763237798
"524","Wannon","Hinduism",0.00201088419101157
"525","Wills","Hinduism",0.0286414891923913
"526","Blair","Hinduism",0.00614768518222353
"527","Bonner","Hinduism",0.0176962762971477
"528","Bowman","Hinduism",0.00430582953540576
"529","Brisbane","Hinduism",0.0203434094431495
"530","Capricornia","Hinduism",0.00490313163481953
"531","Dawson","Hinduism",0.00533544874706518
"532","Dickson","Hinduism",0.00792657488527326
"533","Fadden","Hinduism",0.00615566037735849
"534","Fairfax","Hinduism",0.00362953936779549
"535","Fisher","Hinduism",0.00388111239530271
"536","Flynn","Hinduism",0.00490713109693353
"537","Forde","Hinduism",0.00677185902934674
"538","Griffith","Hinduism",0.0195809697846474
"539","Groom","Hinduism",0.00813483266830572
"540","Herbert","Hinduism",0.00476255953199415
"541","Hinkler","Hinduism",0.00336588670298343
"542","Kennedy","Hinduism",0.00268350129348623
"543","Leichhardt","Hinduism",0.00751785419124646
"544","Lilley","Hinduism",0.02068543845535
"545","Longman","Hinduism",0.00311966823168985
"546","Maranoa","Hinduism",0.00239170340198036
"547","McPherson","Hinduism",0.00529749770749632
"548","Moncrieff","Hinduism",0.0110057610710864
"549","Moreton","Hinduism",0.0262287200055671
"550","Oxley","Hinduism",0.0236079113768933
"551","Petrie","Hinduism",0.0178050812161599
"552","Rankin","Hinduism",0.0204052017636881
"553","Ryan","Hinduism",0.0155198939162788
"554","Wide Bay","Hinduism",0.0017279906730142
"555","Wright","Hinduism",0.00274871034346095
"556","Adelaide","Hinduism",0.0305001162491893
"557","Barker","Hinduism",0.00186619576995625
"558","Boothby","Hinduism",0.0116843577717436
"559","Grey","Hinduism",0.00253612585872943
"560","Hindmarsh","Hinduism",0.0205497113916016
"561","Kingston","Hinduism",0.00461097438948536
"562","Makin","Hinduism",0.0172694013229619
"563","Mayo","Hinduism",0.00163143758860701
"564","Port Adelaide","Hinduism",0.0215402880922671
"565","Sturt","Hinduism",0.0271982515888552
"566","Wakefield","Hinduism",0.00805531115497111
"567","Brand","Hinduism",0.00944333693021441
"568","Burt","Hinduism",0.0361884786974992
"569","Canning","Hinduism",0.00537601271067464
"570","Cowan","Hinduism",0.0219536661741382
"571","Curtin","Hinduism",0.017402121800875
"572","Durack","Hinduism",0.00491846570277943
"573","Forrest","Hinduism",0.00332954360890044
"574","Fremantle","Hinduism",0.010581939439574
"575","Hasluck","Hinduism",0.0163967526770919
"576","Moore","Hinduism",0.00754324174022159
"577","O'Connor","Hinduism",0.00362070840503317
"578","Pearce","Hinduism",0.0139797428519556
"579","Perth","Hinduism",0.0205508011834085
"580","Stirling","Hinduism",0.0264203470457863
"581","Swan","Hinduism",0.0278305412923861
"582","Tangney","Hinduism",0.0256545965097987
"583","Bass","Hinduism",0.00647992898707959
"584","Braddon","Hinduism",0.00192668301428012
"585","Denison","Hinduism",0.0133758396459107
"586","Franklin","Hinduism",0.00245102732512494
"587","Lyons","Hinduism",0.000792193990918752
"588","Solomon","Hinduism",0.0260077111812128
"589","Banks","Islam",0.048464115630977
"590","Barton","Islam",0.0762857969337576
"591","Bennelong","Islam",0.0230248360442266
"592","Berowra","Islam",0.0119956454635652
"593","Blaxland","Islam",0.292022172085619
"594","Bradfield","Islam",0.0108639356026333
"595","Calare","Islam",0.0027154707435926
"596","Chifley","Islam",0.082745008729978
"597","Cook","Islam",0.0143964562569214
"598","Cowper","Islam",0.0031508715109747
"599","Cunningham","Islam",0.021997683099498
"600","Dobell","Islam",0.0031999065341702
"601","Eden-Monaro","Islam",0.00542933058590679
"602","Farrer","Islam",0.00562873521161117
"603","Fowler","Islam",0.0635857155904649
"604","Gilmore","Islam",0.00161530484724401
"605","Grayndler","Islam",0.0115575234260566
"606","Greenway","Islam",0.0488278149200021
"607","Hughes","Islam",0.0157808287534046
"608","Hume","Islam",0.00622000358463387
"609","Hunter","Islam",0.00264037347891528
"610","Kingsford Smith","Islam",0.0299935314744834
"611","Lindsay","Islam",0.0191018927747886
"612","Lyne","Islam",0.00107231234533957
"613","Macarthur","Islam",0.0630242505416098
"614","Mackellar","Islam",0.00436031841090618
"615","Macquarie","Islam",0.00279272336484279
"616","McMahon","Islam",0.114953558689866
"617","Mitchell","Islam",0.0282308780115869
"618","New England","Islam",0.00477351735588647
"619","Newcastle","Islam",0.0121871485733713
